date,title,channel,section,counted_because,ai_mentions,url
2023-01-10,"“M3GAN,” Reviewed: A Clever, Hollow A.I. Spin on “Frankenstein”",online,culture,tag,4,https://www.newyorker.com/culture/the-front-row/m3gan-reviewed-a-clever-hollow-ai-spin-on-frankenstein
2023-02-01,Whispers of A.I.’s Modular Future,online,tech,tag,20,https://www.newyorker.com/tech/annals-of-technology/whispers-of-ais-modular-future
2023-02-03,"Introducing PenceGPT, from the Makers of ChatGPT",online,humor,tag,3,https://www.newyorker.com/humor/daily-shouts/introducing-pencegpt-from-the-makers-of-chatgpt
2023-02-09,ChatGPT Is a Blurry JPEG of the Web,online,tech,tag,47,https://www.newyorker.com/tech/annals-of-technology/chatgpt-is-a-blurry-jpeg-of-the-web
2023-02-10,Is A.I. Art Stealing from Artists?,online,culture,tag,25,https://www.newyorker.com/culture/infinite-scroll/is-ai-art-stealing-from-artists
2023-02-13,“It’s Not Possible for Me to Feel or Be Creepy”: An Interview with ChatGPT,online,news,tag,39,https://www.newyorker.com/news/the-new-yorker-interview/its-not-possible-for-me-to-feel-or-be-creepy-an-interview-with-chatgpt
2023-02-25,What a Sixty-Five-Year-Old Book Teaches Us About A.I.,online,books,tag,2,https://www.newyorker.com/books/second-read/what-a-sixty-five-year-old-book-teaches-us-about-ai
2023-02-27,Can A.I. Treat Mental Illness?,print,magazine,tag,33,https://www.newyorker.com/magazine/2023/03/06/can-ai-treat-mental-illness
2023-02-27,The End of the English Major,print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2023/03/06/the-end-of-the-english-major
2023-03-01,How ChatGPT Will Strain a Political System in Peril,online,podcast,tag,17,https://www.newyorker.com/podcast/political-scene/how-chatgpt-will-strain-a-political-system-in-peril
2023-03-01,What Can A.I. Art Teach Us About the Real Thing?,online,culture,tag,9,https://www.newyorker.com/culture/cultural-comment/what-can-ai-art-teach-us-about-the-real-thing
2023-03-06,I Have Questions for ChatGPT,print,magazine,headline,2,https://www.newyorker.com/magazine/2023/03/13/i-have-questions-for-chatgpt
2023-03-09,The Uncanny Failure of A.I.-Generated Hands,online,culture,tag,21,https://www.newyorker.com/culture/rabbit-holes/the-uncanny-failures-of-ai-generated-hands
2023-03-21,Bing A.I. and the Dawn of the Post-Search Internet,online,culture,tag,34,https://www.newyorker.com/culture/infinite-scroll/bing-ai-and-the-dawn-of-the-post-search-internet
2023-03-27,Upcoming Landmarks in Artificial Intelligence,print,magazine,headline,4,https://www.newyorker.com/magazine/2023/04/03/upcoming-landmarks-in-artificial-intelligence
2023-03-28,What We Still Don’t Know About How A.I. Is Trained,online,news,tag,25,https://www.newyorker.com/news/daily-comment/what-we-still-dont-know-about-how-ai-is-trained
2023-03-31,What’s the Point of Reading Writing by Humans?,online,news,tag,5,https://www.newyorker.com/news/our-columnists/whats-the-point-of-reading-writing-by-humans
