month,online,print,total,total_3mo_avg
2023-01,1,0,1,1.0
2023-02,6,2,8,4.5
2023-03,6,2,8,5.7
2023-04,4,1,5,7.0
2023-05,5,0,5,6.0
2023-06,4,0,4,4.7
2023-07,3,1,4,4.3
2023-08,1,1,2,3.3
2023-09,2,2,4,3.3
2023-10,2,1,3,3.0
2023-11,11,7,18,8.3
2023-12,4,1,5,8.7
2024-01,1,3,4,9.0
2024-02,3,1,4,4.3
2024-03,5,1,6,4.7
2024-04,1,3,4,4.7
2024-05,2,1,3,4.3
2024-06,1,2,3,3.3
2024-07,1,0,1,2.3
2024-08,6,0,6,3.3
2024-09,0,4,4,3.7
2024-10,3,3,6,5.3
2024-11,1,2,3,4.3
2024-12,1,1,2,3.7
2025-01,1,0,1,2.0
2025-02,2,0,2,1.7
2025-03,2,2,4,2.3
2025-04,5,1,6,4.0
2025-05,5,0,5,5.0
2025-06,5,2,7,6.0
2025-07,1,3,4,5.3
2025-08,5,3,8,6.3
2025-09,3,4,7,6.3
2025-10,5,3,8,7.7
2025-11,3,1,4,6.3
2025-12,6,4,10,7.3
2026-01,3,2,5,6.3
2026-02,3,3,6,7.0
2026-03,4,6,10,7.0
2026-04,11,4,15,10.3
2026-05,10,2,12,12.3
2026-06,7,3,10,12.3
2026-07,3,1,4,8.7
2026-08,9,4,13,9.0
2026-09,14,5,19,12.0
